AAA,Anaa,GLF
NKT,Sirnak Airport,NKT
NKU,Nkaus,NKU
NKY,Nkayi,NKY
NLA,Ndola,NLA
NLD,Nuevo Laredo Intl,NLD
NLF,Darnley Island,NLF
NLG,Nelson Lagoon,NLG
NLK,Norfolk Island,NLK
NLL,Nullagine,NLL
NLP,Nelspruit,NLP
NMA,Namangan Airport,NMA
NMB,Daman,NMB
NME,Nightmute,NME
NMG,San Miguel,NMG
NNB,Santa Ana,NNB
NNG,Nanning Airport,NNG
NNI,Namutoni,NNI
NNK,Naknek,NNK
NNL,Nondalton,NNL
NNM,Naryan - Mar Airport,NNM
NNR,Connemara Airport,NNR
NNT,Nan,NNT
NOA,Nowra,NOA
NOB,Nosara Beach,NOB
NOC,Knock Int'l,NOC
NOJ,Noyabrsk,NOJ
NOM,Nomad River,NOM
NON,Nonouti,NON
NOP,Sinop Airport,NOP
NOR,Nordfjordur,NOR
NOS,Fascene,NOS
NOU,Tontouta,NOU
NOV,Huambo,NOV
NOZ,Novokuznetsk,NOZ
NPE,Hawkes Bay,NPE
NPH,Nephi,NPH
NPL,New Plymouth,NPL
NQN,Neuquen,NQN
NQT,Nottingham Airport,NQT
NQU,Nuqui,NQU
NQY,Newquay,NQY
NRA,Narrandera,NRA
NRD,Norderney,NRD
NRK,Kungsangen,NRK
NRL,North Ronaldsay,NRL
NRM,Nara,NRM
NRN,Weeze,DUS
NRT,Narita,TYO
NSA,Noosa,NSA
NSB,North Sea Plan Base,BIM
NSI,Nsimalen airport,YAO
NSK,Norilsk,NSK
NSM,Norseman,NSM
NSN,Nelson,NSN
NSO,Scone,NSO
NST,Nakon Si Thammarat,NST
NSY,Sigonella,NSY
NTE,Nantes Atlantique,NTE
NTG,Nantong Xingdong Airport,NTG
NTI,Bintuni,NTI
NTL,Williamtown,NTL
NTM,Miracema Do Norte,NTM
NTN,Normanton,NTN
NTT,Kuini Lavenia,NTT
NTX,Natuna Ranai,NTX
NTY,Pilansberg,NTY
NUB,Numbulwar,NUB
NUE,Nuremberg,NUE
NUI,Nuiqsut,NUI
NUK,Nukutavake,NUK
NUL,Nulato,NUL
NUP,Nunapitchuk,NUP
NUS,Norsup,NUS
NUU,Nakuru,NUU
NUX,Novy Urengoy Airport,NUX
NVA,La Marguita,NVA
NVI,Navoi Intl Airport,NVI
NVK,Framnes,NVK
NVS,FOURCHAMBAULT,NVS
NVT,Navegantes,NVT
NVY,Neyveli,NVY
NWA,Moheli,NWA
NWI,Norwich,NWI
NWT,Nowata,NWT
NYC,New York City,NYC
NYE,Nyeri,NYE
NYI,Sunyani,NYI
NYK,Nanyuki,NYK
NYM,Nadym Airport,NYM
NYO,Skavsta,NYO
NYT,Naypyidaw Intl Airport,NYT
NYU,Nyaung U,NYU
NZE,Nzerekore,NZE
OAG,Orange Springhill Spr,OAG
OAJ,Albert J Ellis,OAJ
OAK,Oakland Int'l,OAK
OAM,Oamaru,OAM
OAX,Xoxocotlan,OAX
OBC,Obock,OBC
OBD,Obano,OBD
OBF,Oberpfaffenhofen,OBF
OBM,Morobe,OBM
OBO,Obihiro,OBO
OBU,Kobuk/Wien,OBU
OBX,Obo,OBX
OCA,Ocean Reef,OCA
OCC,Coca,OCC
OCH,Nacogdoches,OCH
OCJ,Boscobel,OCJ
OCV,Ocana,OCV
ODA,Ouadda,ODA
ODE,Beldringe,ODE
ODJ,Ouanda Djalle,ODJ
ODN,Long Seridan,ODN
ODR,ORD RIVER,ODR
ODS,Odessa Central,ODS
ODW,Oak Harbor,ODW
ODY,Oudomxay,ODY
OEC,Ocussi,OEC
OER,Ornskoldsvik,OER
OES,San Antonio Oeste,OES
OFI,Ouango Fitini,OFI
OFJ,Olafsfjordur,OFJ
OFK,Stefan Field,OFK
OFU,Ofu,OFU
OGG,Kahului,OGG
OGL,,OGL
OGN,Yonaguni Jima,OGN
OGO,Abengourou,OGO
OGR,Bongor,OGR
OGS,Ogdensburg,OGS
OGU,Ordu Giresun Airport,OGU
OGX,Ain Beida,OGX
OGZ,Vladikavkaz,OGZ
OHD,Ohrid,OHD
OHI,Oshakati,OHI
OHR,Wyk Auf Foehr,OHR
OHS,Sohar,OHS
OHT,Kohat,OHT
OIM,Oshima,OIM
OIR,Okushiri,OIR
OIT,Oita,OIT
OJC,Johnson Executive,MKC
OKA,Naha,OKA
OKC,Will Rogers World,OKC
OKD,Okadama,SPK
OKE,Okino Erabu,OKE
OKF,Okaukuejo,OKF
OKI,Oki Island,OKI
OKJ,Okayama,OKJ
OKL,Oksibil,OKL
OKN,Okondja,OKN
OKP,Oksapmin,OKP
OKQ,Okaba,OKQ
OKR,Yorke Island,OKR
OLA,Orland,OLA
OLB,Costa Smeralda,OLB
OLC,Sao Paulo de Olivenca Airport,OLC
OLF,Wolf Point Int'l,OLF
OLJ,Olpoi,OLJ
OLM,Olympia,OLM
OLP,Olympic Dam,OLP
OLQ,Olsobip,OLQ
OMA,Eppley Airfield,OMA
OMB,Omboue,OMB
OMC,Ormoc Airport,OMC
OMD,Oranjemund,OMD
OME,Nome,OME
OMH,Urmieh,OMH
OMO,Mostar,OMO
OMR,Oradea,OMR
OMS,Omsk,OMS
OND,Ondangwa,OND
ONG,Mornington,ONG
ONI,Moanamani,ONI
ONP,NEWPORT,ONP
ONQ,Zonguldak Airport,ONQ
ONS,Onslow,ONS
ONT,Ontario Internationa,ONT
ONX,Colon,ONX
OOK,Toksook Bay,OOK
OOL,Coolangatta,OOL
OOM,Cooma,OOM
OOT,Onotoa,OOT
OPA,Kopasker,OPA
OPO,Porto,OPO
OPS,Sinop - Mato Grosso,OPS
OPU,Balimo,OPU
ORB,Orebro-Bofors,ORB
ORC,Orocue,ORC
ORD,O’Hare Int'l,CHI
ORF,Norfolk Int'l,ORF
ORG,Zorg En Hoop,PBM
ORH,Worcester,ORH
ORK,Cork,ORK
ORL,Orlando Executive Airport,ORL
ORN,Es Senia,ORN
ORP,Orapa,ORP
ORV,Curtis Memorial,ORV
ORW,Ormara,ORW
ORY,Orly,PAR
OSA,Osaka All Airports,OSA
OSB,Mosul International Airport,OSB
OSD,Froesoe,OSD
OSH,Wittman Field,OSH
OSI,Osijek Intl Airport,OSI
OSK,Oskarshamn,OSK
OSL,Oslo Airport,OSL
OSM,Mosul Airport,OSM
OSP,Slupsk - Redzikowo Airport,OSP
OSR,Mosnov,OSR
OSS,Osh,OSS
OST,Ostend,OST
OSU,Ohio State University,CMH
OSY,Namsos,OSY
OTA,Mota,OTA
OTC,Bol,OTC
OTD,Contadora,OTD
OTH,N Bend Coosbay,OTH
OTI,Morotai Island,OTI
OTL,Boutilimit,OTL
OTM,Ottumwa Industrial,OTM
OTP,Otopeni Int'l,BUH
OTR,Coto 47,OTR
OTS,Anacortes,OTS
OTU,Otu,OTU
OTZ,Kotzebue,OTZ
OUA,Ouagadougou,OUA
OUD,Les Angades,OUD
OUE,Ouesso,OUE
OUG,Ouahigouya,OUG
OUL,Oulu,OUL
OUM,Oum Hadjer,OUM
OUR,Batouri,OUR
OUS,Ourinhos,OUS
OUT,Bousso,OUT
OUZ,Zouerate,OUZ
OVA,Bekily,OVA
OVB,Tolmachevo,OVB
OVD,Asturias,OVD
OWB,Daviess County,OWB
OXB,Osvaldo Vieira,OXB
OXF,London Oxford,OXF
OXQ,Oxford Railway Station,OXQ
OXR,Oxnard,OXR
OYE,Oyem,OYE
OYL,Moyale,OYL
OZC,Labo Airport,OZC
OZH,Zaporozhye,OZH
OZZ,Ouarzazate,OZZ
PAB,Bilaspur,PAB
PAC,Paitilla,PTY
PAD,Paderborn,PAD
PAE,Snohomish County,PAE
PAG,Pagadian Airport,PAG
PAH,Barkley Regional,PAH
PAN,Pattani,PAN
PAP,Mais Gate,PAP
PAQ,Palmer Municipal,PAQ
PAR,Paris (All Airports),PAR
PAS,Paros,PAS
PAT,Patna,PAT
PAV,Paulo Afonso,PAV
PAY,Pamol,PAY
PAZ,Tajin,PAZ
PBC,Huejotsingo,PBC
PBD,Porbandar,PBD
PBE,Puerto Berrio,PBE
PBG,Plattsburgh Intl Airport,PBG
PBH,Paro,PBH
PBI,Palm Beach Intl,PBI
PBL,Puerto Cabello,PBL
PBM,Zanderij Internatiional,PBM
PBN,Porto Amboim,PBN
PBO,Paraburdoo,PBO
PBU,Putao,PBU
PCA,Portage Creek,PCA
PCC,Puerto Rico Airport,PCC
PCL,Capitan Rolden,PCL
PCN,Koromiko,PCN
PCP,Principe,PCP
PCR,Puerto Carreno,PCR
PDA,Puerto Inirida,PDA
PDB,Pedro Bay,PDB
PDF,Prado Airport,PDF
PDG,Tabing,PDG
PDL,Nordela,PDL
PDN,Parndana,PDN
PDP,Punta Del Este,PDP
PDT,Pendleton,PDT
PDU,Paysandu,PDU
PDV,Plovdiv,PDV
PDX,Portland Int'l,PDX
PEA,Penneshaw,PEA
PED,Pardubice,PED
PEE,Perm,PEE
PEG,Sant Egidio,PEG
PEI,Pereira,PEI
PEK,Beijing Capital,BJS
PEM,Puerto Maldonado,PEM
PEN,Penang Int'l,PEN
PER,Perth,PER
PET,Pelotas,PET
PEU,Puerto Lempira,PEU
PEW,Peshawar,PEW
PEZ,Ternovka,PEZ
PFB,Passo Fundo,PFB
PFJ,Patreksfjordur,PFJ
PFN,Bay County,PFN
PFO,Paphos Int'l,PFO
PGA,Page,PGA
PGD,Punta Gorda Airport,PGD
PGF,Rivesaltes,PGF
PGH,Pantnagar,PGH
PGI,Chitato,PGI
PGK,Pangkalpinang,PGK
PGM,Port Graham,PGM
PGV,Pitt-Greenville,PGV
PGX,Perigueux,PGX
PGZ,Ponta Grossa Airport,PGZ
PHB,Parnaiba - Prefeito Dr Filho,PHB
PHC,Port Harcourt,PHC
PHE,Port Hedland,PHE
PHF,Newportnews/Williamsburg,PHF
PHJ,Port Hunter,PHJ
PHL,Philadelphia Int'l,PHL
PHN,SAINT CLAIR INTL,PHN
PHO,Point Hope,PHO
PHR,Pacific Harbor,PHR
PHS,Phitsanulok,PHS
PHW,H Van Eck,PHW
PHX,Sky Harbor Int'l,PHX
PIA,Greater Peoria,PIA
PIB,Hattisburg-Laurel Regional,LUL
PID,Paradise Island,NAS
PIE,St Petersburg Int'l,PIE
PIH,Pocatello,PIH
PIK,Prestwick,GLA
PIN,Parintins Airport,PIN
PIP,Pilot Point,PIP
PIR,Pierre,PIR
PIS,Biard,PIS
PIT,Pittsburgh Int'l,PIT
PIU,Piura,PIU
PIX,Pico Island,PIX
PIZ,Dew Station,PIZ
PJG,Panjgur,PJG
PKA,Napaiskakspb,PKA
PKB,Wood County,PKB
PKC,Petropavlovsk Kam,PKC
PKE,Parkes,PKE
PKN,Pangkalanbuun,PKN
PKO,Parakou,PKO
PKP,Puka Puka,PKP
PKR,Pokhara,PKR
PKU,Simpang Tiga,PKU
PKW,Selebi Phikwe,PKW
PKY,Palangkaraya,PKY
PKZ,Pakse,PKZ
PLB,Clinton Country,PLB
PLD,Playa Samara,PLD
PLE,Paiela - Papua New Guinea,PLE
PLF,Pala,PLF
PLH,Plymouth,PLH
PLM,Mahmud Badaruddin Ii,PLM
PLN,Emmet County,PLN
PLO,Port Lincoln,PLO
PLQ,Palanga,PLQ
PLS,Providenciales,PLS
PLU,Pampulha,BHZ
PLW,Mutiara,PLW
PLX,Semipalatinsk,PLX
PLZ,Port Elizabeth Airport,PLZ
PMA,Wawi,PMA
PMC,Tepual,PMC
PMF,Parma,PMF
PMG,Ponta Pora Int'l,PMG
PMI,Palma Mallorca,PMI
PMN,Pumani,PMN
PMO,Punta Raisi,PMO
PMQ,Perito Moreno,PMQ
PMR,Palmerston North,PMR
PMV,Delcaribe General S Marino,PMV
PMW,Palmas,PMW
PMZ,Palmar Sur,PMZ
PNA,Pamplona,PNA
PNB,Porto Nacional,PNB
PNC,Ponca City,PNC
PND,Punta Gorda,PND
PNE,North Philadelphia,PHL
PNH,Phnom Penh International Airport,PNH
PNI,Pohnpei,PNI
PNK,Supadio,PNK
PNL,Pantelleria,PNL
PNP,Girua,PNP
PNQ,Lohegaon,PNQ
PNR,Pointe Noire,PNR
PNS,Pensacola Regional,PNS
PNY,PONDICHERRY ,PNY
PNZ,Petrolina Internacional,PNZ
POA,Salgado Filho,POA
POD,Podor,POD
POG,Port Gentil,POG
POJ,Patos de Minas Airport,POJ
POL,Pemba,POL
POM,Jackson Field,POM
POO,Pocos De Caldas,POO
POP,La Union,POP
POQ,Polk Inlet,POQ
POR,Pori,POR
POS,Port Of Spain,POS
POT,Ken Jones,POT
POU,Dutchess County,POU
POW,Portoroz,POW
POZ,Poznan,POZ
PPB,A. De Barros,PPB
PPE,Puerto Penasco,PPE
PPG,Pago Pago Int'l,PPG
PPM,Pompano Beach,PPM
PPN,Machangara,PPN
PPP,Proserpine,PPP
PPQ,Paraparaumu,PPQ
PPS,Puerto Princesa,PPS
PPT,Faaa,PPT
PPV,Port Protection,PPV
PPW,Papa Westray,PPW
PQC,Phu Quoc Intl Airport,PQC
PQI,Presque Isle Municipal,PQI
PQM,Palenque International Airport,PQM
PQQ,Port Macquarie,PQQ
PRC,Prescott,PRC
PRG,Ruzyne,PRG
PRH,Phrae,PRH
PRI,Praslin Island,PRI
PRN,Pristina,PRN
PRS,Parasi,PRS
PRX,Cox Field,PRX
PRY,Wonderboom,PRY
PSA,Pisa Gal Galilei,FLR
PSC,Tri-Cities,PSC
PSE,Mercedita,PSE
PSG,Petersburg Municipal,PSG
PSI,Pasni,PSI
PSJ,Poso,PSJ
PSP,Palm Springs Municipal,PSP
PSR,Liberi,PSR
PSS,Posadas,PSS
PSZ,Puerto Suarez,PSZ
PTA,Port Alsworth,PTA
PTC,Port Alice,PTC
PTD,Port Alexander,PTD
PTF,Malololailai,PTF
PTG,Pietersburg,PTG
PTH,Port Heiden,PTH
PTI,Port Douglas,PTI
PTJ,Portland,PTJ
PTL,Port Armstrong,PTL
PTP,Le Raizet,PTP
PTU,Platinum,PTU
PTY,Tocumen Int'l,PTY
PUB,Pueblo Memorial Airport,PUB
PUC,Carbon County,PUC
PUD,Puerto Deseado,PUD
PUF,Uzein,PUF
PUG,Port Augusta,PUG
PUJ,Punta Cana,PUJ
PUK,Pukarua,PUK
PUM,Pomala,PUM
PUQ,Pres Ibanez,PUQ
PUS,Kimhae,PUS
PUT,Puttiparthi,PUT
PUU,Puerto Asis,PUU
PUW,Moscow Regional,PUW
PUY,Pula,PUY
PUZ,Puerto Cabezas,PUZ
PVA,Providencia,PVA
PVC,Provincetown,PVC
PVD,Theodore Francis,PVD
PVG,Pu Dong Airport,PVG
PVH,Belmonte,PVH
PVK,Preveza Lefkas,PVK
PVO,Portoviejo,PVO
PVR,Ordaz,PVR
PVU,Provo,PVU
PWI,Beles,PWI
PWM,Portland Int'l Jetport,PWM
PWQ,Pavlodar,PWQ
PXM,Puerto Escondido,PXM
PXO,Porto Santo,PXO
PXU,Pleiku Airport,PXU
PYE,Penrhyn Island,PYE
PYG,Pakyong airport,PYG
PYH,Puerto Ayacucho,PYH
PYR,Andravida,PYR
PYX,Pattaya,UTP
PZA,Paz De Ariporo,PZA
PZB,Pietermaritzburg,PZB
PZE,Penzance,PZE
PZH,Zhob,PZH
PZO,Puerto Ordaz,PZO
PZU,Port Sudan,PZU
PZY,Piestany,PZY
QBB,Airlines Serving Sidi Bel Abbes Airport,QBB
QBC,Bella Coola,QBC
QDU,Dusseldorf Central Station,QDU
QKL,,QKL
QKP,Kruger National P(All Airport),QKP
QKU,KÃ¶ln-Deutz,QKU
QOW,QOW Sam Mbadwe Airport,QOW
QPG,Paya Lebar,SIN
QPR, PRATO,QPR
QQU,,QQU
QRH,Rotterdam Central Station,QRH
QRO,Queretaro Intl Airport,QRO
QSF,Sétif International Airport,QSF
QYG,Railway germany,QYG
RAB,Lakunai,RAB
RAE,Arar Domestic Airport,RAE
RAF,Ras An Naqb,RAF
RAH,Rafha Domestic Airport,RAH
RAI,Francisco Mendes,RAI
RAJ,Rajkot Civil,RAJ
RAK,Menara,RAK
RAL,Riverside Municipal,RAL
RAM,Ramingining,RAM
RAO,Leite Lopes,RAO
RAP,Rapid City Regional,RAP
RAR,Rarotonga,RAR
RAS,Rasht,RAS
RAV,Cravo Norte,RAV
RAZ,Rawala Kot,RAZ
RBA,Sale,RBA
RBJ,Rebun,RBJ
RBP,Rabaraba,RBP
RBQ,Rurrenabaque,RBQ
RBR,Pres. Medici,RBR
RBS,Orbost,RBS
RBT,Marsabit,RBT
RBY,Ruby,RBY
RCB,Richards Bay,RCB
RCE,Roche Harbor,RCE
RCH,Riohacha,RCH
RCM,Richmond,RCM
RCN,American River,RCN
RCO,Rochefort Saint Agnant Airport,RCO
RCU,Rio Cuarto,RCU
RDC,Redencao,RDC
RDD,Redding,RDD
RDE,Merdey,RDE
RDG,Reading Municipal/Spaatz Field,RDG
RDM,Roberts Field,RDM
RDP,Durgapur,RDP
RDT,Richard Toll,RDT
RDU,Raleigh Durham,RDU
RDV,Red Devil,RDV
RDZ,Marcillac,RDZ
REA,Reao,REA
REC,Guararapes Int'l,REC
REG,Tito Menniti,REG
REK,Reyk Airport,REK
REL,Trelew,REL
REN,Orenburg,REN
REP,Siem Reap International Airport,REP
RES,Resistencia,RES
RET,Stolport,RET
REU,Reus,REU
REW,Rewa,REW
REX,Gen Lucio Blanco,REX
REZ,Resende Airport,REZ
RFA,Rafai,RFA
RFD,Greater Rockford,RFD
RFN,Raufarhofn,RFN
RFP,Raiatea,RFP
RGA,Rio Grande,RGA
RGE,Porgera,RGE
RGI,Rangiroa,RGI
RGK,Gorno - Altaysk Airport,RGK
RGL,Rio Gallegos Int'l,RGL
RGN,Mingaladon,RGN
RGT,Japura,RGT
RHE,Reims,RHE
RHG,Ruhengeri,RHG
RHI,Oneide County,RHI
RHO,Diagoras,RHO
RIA,Base Aerea,RIA
RIB,Gen Buech,RIB
RIC,Richmond Int'l,RIC
RIF,Reynolds,RIF
RIG,Rio Grande,RIG
RIH,Rio Hato Airport,RIH
RIJ,Rioja,RIJ
RIN,Ringi Cove,RIN
RIO,rio de janeiro airport,RIO
RIR,Riverside Fla-Bob,RAL
RIS,Rishiri,RIS
RIW,Riverton,RIW
RIX,Riga,RIX
RIY,Riyan,RIY
RJA,Rajahmundry,RJA
RJH,Rajshahi,RJH
RJI,Rajouri,RJI
RJK,Rijeka,RJK
RJL,Logronoâ€“Agoncillo Airport,RJL
RKD,Knox County Regional,RKD
RKE,Roskilde,CPH
RKS,Sweetwater County,RKS
RKT,Ras Al Khaimah,RKT
RKV,Reykjavík Airport,REK
RLG,Rostock - Laage Airport,RLG
RMA,Roma,RMA
RMF, Marsa Alam International,RMF
RMI,Miramare,RMI
RMQ,Taichung,RMQ
RNB,Kallinge,RNB
RNC,WARREN CNTY,RNC
RNE,Renaison,RNE
RNJ,Yoronjima,RNJ
RNK,RNK Airport,RNK
RNL,Rennell,RNL
RNN,Bornholm,RNN
RNO,Tahoe Intl.,RNO
RNR,Robinson River,RNR
RNS,St Jacques,RNS
RNT,Renton,RNT
ROA,Roanoke Municipal,ROA
ROB,Roberts Int'l,MLW
ROC,Monroe County,ROC
ROI,Roi Et,ROI
ROK,Rockhampton,ROK
ROM,Rome,IRR
RON,Rondon,RON
ROO,Rondonopolis,ROO
ROP,Rota,ROP
ROR,Airai,ROR
ROS,Fisherton,ROS
ROT,Rotorua,ROT
ROU,Rousse,ROU
ROV,Rostov,ROV
ROW,Roswell Industrial,ROW
ROY,Rio Mayo,ROY
RPM,Ngukurr,RPM
RPN,Rosh Pina,RPN
RPR,Raipur,RPR
RRG,Rodrigues Island,RRG
RRK,Rourkela,RRK
RRO,Sorrento Airport,RRO
RRS,Roros,RRS
RSA,Santa Rosa,RSA
RSD,S Eleuther,RSD
RSH,Russian Mission,RSH
RSS,Roseires,RSS
RST,Rochester Municipal,RST
RSU,Yosu,RSU
RSW,Southwest Florida Regional,FMY
RTA,Rotuma Island,RTA
RTB,Roatan,RTB
RTG,Ruteng,RTG
RTI,Roti,RTI
RTK,Rohtak International Airport,RTK
RTM,Rotterdam,RTM
RTS,Rottnest Island,RTS
RTW,Saratov,RTW
RUA,Arua,RUA
RUH,King Khaled Int'l,RUH
RUJ,RIYADH,RUH
RUN,Gillot,RUN
RUR,Rurutu,RUR
RUS,Marau Sound,RUS
RUT,Rutland Southern Vermont Airport,RUT
RVA,Farafangana,RVA
RVD,Rio Verde Airport,RVD
RVE,Saravena,RVE
RVK,Ryumsjoen,RVK
RVN,Rovaniemi,RVN
RVT,Ravensthorpe Airport,RVT
RVY,Rivera,RVY
RWB,Rowan Bay,RWB
RWI,Rocky Mount-Wilson,RWI
RXS,Roxas Airport,RXS
RYG,Moss-Rygge,OSL
RYK,Rahim Yar Khan,RYK
RYO,Rio Turbio,RYO
RZA,Santa Cruz,RZA
RZE,Jasionka,RZE
SAB,J. Yrausquin,SAB
SAC,Sacramento Executive,SAC
SAF,Santa Fe,SAF
SAG,Shirdi International Airport,IXS
SAH,Sanaa Int'l,SAH
SAK,Saudarkrokur,SAK
SAL,Comalapa Int'l,SAL
SAM,Salamo,SAM
SAN,Lindberg Field S. Diego,SAN
SAO,Sao Paulo Campo de Marte (All Airports),SAO
SAP,Ramon Villeda Morales,SAP
SAQ,San Andros,SAQ
SAT,San Antonio Int'l,SAT
SAU,Sawu,SAU
SAV,Savannah Int'l,SAV
SAW,Sabiha Gokcen,IST
SAY,Siena - Ampugnano Airport,SAY
SBA,St Ba Municipal,SBA
SBC,SELBANG,SBC
SBD,San Bernardino Intl Airport,SBD
SBE,Suabi,SBE
SBF,Sardeh Band Airport,SBF
SBH,St Barthelemy,SBH
SBI,Sambailo,SBI
SBK,Tremuson,SBK
SBN,St Joseph Co,SBN
SBO,Salina,SBO
SBP,San Luis County,CSL
SBR,Saibai Island,SBR
SBS,Steamboat Springs,SBS
SBU,Springbok,SBU
SBW,Sibu,SBW
SBY,Wicomico County,SBY
SBZ,Sibiu,SBZ
SCC,Prudhoe Bay Deadh,SCC
SCE,State College,SCE
SCF,Scottsdale Municipal,PHX
SCJ,Smith Cove,SCJ
SCK,Stockton,SCK
SCL,Arturo Merino Benitez,SCL
SCN,Ensheim,SCN
SCO,Aktau,SCO
SCQ,Santiago,SCQ
SCT,Socotra,SCT
SCU,Antonio Maceo,SCU
SCV,Salcea,SCV
SCW,Syktyvkar,SCW
SCZ,Santa Cruz Is,SCZ
SDA,dasdasd,OFU
SDD,Lubango,SDD
SDE,Sgo  Del Estero,SDE
SDF,Standiford Field,SDF
SDG,Sanandaj,SDG
SDJ,Sendai,SDJ
SDK,Sandakan,SDK
SDL,Sundsvall Harnosa,SDL
SDM,Brown Field,SAN
SDN,Sandane,SDN
SDP,Sand Point Municipal,SDP
SDQ,Las Americas,SDQ
SDR,Santander,SDR
SDT,Saidu Sharif,SDT
SDU,Santos Dumont,RIO
SDV,Sde Dov,TLV
SDX,Sedona,SDX
SDY,Richland Municipal,SDY
SEA,Seattle/Tacoma Int'l,SEA
SEB,Sebha,SEB
SEH,Senggeh,SEH
SEL,Seoul (All Airports),SEL
SEN,Southend Municipal,SEN
SEO,Seguela,SEO
SEY,Selibaby,SEY
SEZ,Seychelles Int'l,SEZ
SFA,Sfax El Maou,SFA
SFB,Orlando Sanford Intl,ORL
SFD,Las Flecheras,SFD
SFF,Felts Field,GEG
SFG,Esperance,SFG
SFH,San Felipe,SFH
SFI,Safi,SFI
SFJ,Kangerlussuaq,SFJ
SFO,San Francisco Int'l,SFO
SFS,Subic Bay Int'l,SFS
SFT,Skelleftea,SFT
SFU,Safia,SFU
SGA,Sheghnan,SGA
SGC,Surgut,SGC
SGD,Sonderborg,SGD
SGF,Springfield-Branson Regional,SGF
SGI,Sargodha PAF Base Mushaf,SGI
SGN,Ho Chi Minh,SGN
SGS,Sanga Sanga,SGS
SGU,Saint George Municipal,SGU
SGV,Sierra Grande,SGV
SGX,Songea,SGX
SGY,Skagway Municipal,SGY
SHA,Hongqiao,SHA
SHB,Nakashibetsu,SHB
SHC,Indaselassie,SHC
SHD,Shenandoah Valley,SHD
SHE,Shenyang,SHE
SHG,Shungnak,SHG
SHH,Shishmaref,SHH
SHI,Shimojishima,SHI
SHJ,Sharjah International,SHJ
SHK,Sehonghong,SHK
SHL,Shillong,SHL
SHM,Shirahama,SHM
SHO,Solak,SHO
SHP,Qinhuangdao,SHP
SHR,Sheridan,SHR
SHS,Shashi,SHS
SHV,Shreveport Regional,SHV
SHW,Sharurah Domestic Airport,SHW
SHX,Shageluk,SHX
SHY,Shinyanga,SHY
SIA,Xiguan,SIA
SIB,Sibiti,SIB
SID,Amilcar Cabral Int'l,SID
SIG,Isla Grande,SJU
SIJ,Siglufjordur,SIJ
SIN,Changi,SIN
SIO,Smithton,SIO
SIP,Simferopol,SIP
SIQ,Dabo,SIQ
SIR,Sion,SIR
SIS,Sishen,SIS
SIT,Sitka,SIT
SIU,Siuna,SIU
SJB,San Joaquin,SJB
SJC,San Jose Municipal,SJC
SJD,CABO SAN LUCAS,SJD
SJE,San Jose Del Gua,SJE
SJI,Mcguire Field,SJI
SJJ,Butmir,SJJ
SJK,Sao Jose Dos Campos,SJK
SJL,Sao Gabriel da Cachoeira Airport,SJL
SJO,Juan Santamaria Int'l,SJO
SJP,Sao Jose Do Rio Preto,SJP
SJT,Mathis Field,SJT
SJU,Luis Munoz Marin,SJU
SJW,Shijiazhuang Zhengding Intl Airport,SJW
SJY,Seinajoki Airport,SJY
SJZ,Sao Jorge Island,SJZ
SKB,Robert L Bradshaw,SKB
SKC,Suki,SKC
SKD,Samarkand,SKD
SKE,Skien,SKE
SKG,Makedonia,SKG
SKK,Shaktoolik,SKK
SKN,Skagen,SKN
SKO,Sokoto,SKO
SKP,Skopje,SKP
SKR,Shakiso,SKR
SKS,Vojens,SKS
SKT,Sialkot International Airport,SKT
SKU,Skiros,SKU
SKV,Mount Sinai,SKV
SKX,Saransk Airport,SKX
SKZ,Sukkur,SKZ
SLA,Gen Belgrano,SLA
SLC,Salt Lake City Int'l,SLC
SLD,Sliac,SLD
SLE,Mcnary Field,SLE
SLH,Sola,SLH
SLJ,Stellar Air Park,CHD
SLK,Adirondack,SLK
SLL,Salalah,SLL
SLN,Salina,SLN
SLP,San Luis Potosi,SLP
SLQ,Sleetmute,SLQ
SLS,Silistra,SLS
SLU,George F.L.Charles,SLU
SLV,Simla,SLV
SLX,Salt Cay,SLX
SLZ,Sao Luiz,SLZ
SMA,Vila Do Porto,SMA
SMF,Sacramento,SAC
SMI,Samos,SMI
SMK,St Michael,SMK
SML,Stella Maris Estate Airstrip,SML
SMM,Semporna,SMM
SMO,Santa Monica,SMO
SMR,Simon Bolivar,SMR
SMS,Sainte Marie,SMS
SMT,Sorriso Airport,SMT
SMV,Samedan,SMV
SMW,Smara,SMW
SMX,Public,SMX
SMY,Simenti,SMY
SNA,John Wayne,SNA
SNB,Snake Bay,SNB
SNE,Preguica,SNE
SNG,San Ignacio De Ve,SNG
SNI,R.E. Murray,SNI
SNN,Shannon,SNN
SNO,Sakon Nakhon,SNO
SNP,Saint Paul Island,SNP
SNU,Santa Clara,SNU
SNW,Thandwe,SNW
SNY,Sidney,SNY
SOB,Keszthely Airport,SOB
SOC,Adi Sumarmo,SOC
SOE,Souanke,SOE
SOF,Sofia,SOF
SOG,Haukasen,SOG
SOI,South Molle Islan,SOI
SOJ,Sorkjosen,SOJ
SOK,Semongkong,SOK
SOM,El Tigre,SOM
SON,Espiritu Santo,SON
SOO,Soderhamn,SOO
SOQ,Jefman,SOQ
SOT,Sodankyla,SOT
SOU,Eastleigh,SOU
SOV,Seldovia,SOV
SOW,Show Low Regional Airport,SOW
SOY,Stronsay,SOY
SPC,La Palma,SPC
SPD,Saidpur,SPD
SPF,Black Hills,SPF
